identifier	Qidentifier	hierarcylevel	type	prefLabel	altLabel	translation	description	parent	parentQ	related	relatedQ	source	creator	closeMatch	relatedMatch	seeAlso	example
B51DAF	Q12	0	Q2	Material	Werkstoff|Objektmaterial		Material aus dem das Objekt besteht.	top					Q7|Q8	http://terminology.lido-schema.org/lido00132			https://n4o-ta4-dev.wikibase.cloud/wiki/Item:Q12
B5DD1A		1	Q2	Metall	Metalle	metal@en|métal@fr	Gruppe chemischer Elemente	B51DAF	Q12				Q7|Q8	http://www.wikidata.org/entity/Q11426			
FGA46A		2	Q2	Edelmetall	Edelmetalle	nobel metal@en	chemisches Element mit hoher Korrosionsbeständigkeit	B5DD1A					Q7|Q8	https://www.wikidata.org/wiki/Q585302			
FD5149		3	Q2	Gold		gold@en		FGA46A									
DC5B2B		3	Q2	Goldlegierung	Goldlegierungen	gold alloy@en	Legierung mit Gold als Hauptbestandteil	FGA46A					Q7|Q8	https://www.wikidata.org/wiki/Q37136268|http://vocab.getty.edu/page/aat/300010963	https://cameo.mfa.org/wiki/Gold		
FD5148		3	Q2	Silber		silver@en		FGA46A									
AD789F		3	Q2	Silberlegierung	Silberlegierungen	silver alloy@en	legierung mit Silber als Hauptbestandteil	FGA46A					Q7|Q8	https://www.wikidata.org/wiki/Q52895784|http://vocab.getty.edu/page/aat/300010975	https://cameo.mfa.org/wiki/Silver		
BBF566		2	Q2	unedles Metal	unedle Metalle	base metal@en	Metalle, die aufgrund ihres hohen Lösungsdrucks, unter Normalbedingungen zur Korrosion neigen	B5DD1A					Q7|Q8	https://www.wikidata.org/wiki/Q428855|http://vocab.getty.edu/page/aat/300241615			
F71C6B		3	Q2	Eisen	Fe|Eisenlegierung	iron@en|fer@fr	"chemisches Element, silber-graues, hartes Metall. Kommt in der Natur selten als gediegenes Metall vor (außer in Meteoriten), wird häufiger aus Eisenerzen verhüttet. In der Archäologie wird mit dem Begriff ""Eisen"" meist eine Eisen-Kohlenstoff-Legierung bezeichnet."	BBF566				https://www.wikidata.org/wiki/Q58888853	Q7|Q8	http://vocab.getty.edu/page/aat/300011002|	https://www.wikidata.org/wiki/Q677		
B28FA6		3	Q2	Kupfer	Cu|reines Kupfer	copper@en	"chemisches Elemten, rot-bräunliches Metall. Auch als ""Halbedelmetall"" bezeichnet. Kommt in der Natur in gediegener Form und als Erz vor. Erste Metall, dass von den Menschen gezielt bearbeitet wurde."	BBF566				https://www.wikidata.org/wiki/Q58888853	Q7|Q8	http://vocab.getty.edu/page/aat/300011020			
A82D86		3	Q2	Buntmetalllegierung	Buntmetall	nonferrous metal@en	Sammelbezeichnung für farbige Legierungen mit schweren Nichteisenmetallen als Hauptbestandsteile. Wird in der archäologischen Restaurierung hauptsächlich als allgemeiner Oberbegriff für kupferhaltige Objektwerkstoffe verwendet, solange keine eindeutige Materialanalyse durchgeführt wurde	BBF566					Q7|Q8	https://www.wikidata.org/wiki/Q355809			
