identifier,Qidentifier,hierarcylevel,type,prefLabel,altLabel,translation,description,parent,parentQ,related,relatedQ,source,creator,closeMatch,relatedMatch,seeAlso,example
B51DAF,Q12,0,Q2,Werkstoff,Material|Objektmaterial,,Material aus dem das Objekt besteht.,top,,,,,Q7|Q8,http://terminology.lido-schema.org/lido00132|http://vocab.getty.edu/page/aat/300010358 ,https://www.wikidata.org/wiki/Q16829513,,https://n4o-ta4-dev.wikibase.cloud/wiki/Item:Q12
B5DD1A,,1,Q2,Metall,Metalle,metal@en|métal@fr,"anorganischer Werkstoff mit charakteristisch hoher Dichte, Formbarkeit und Beständigkeit. Metall wurde als Werkstoff häufig für Werkzeug, Schmuck und Waffen verwendet und bietet daher einen wertvollen Einblick in frühere technologische Entwicklungen und Handelsnetzwerke.",B51DAF,Q12,,,,Q7|Q8,http://www.wikidata.org/entity/Q11426 |http://vocab.getty.edu/page/aat/300010900 |https://cameo.mfa.org/wiki/Metal| https://d-nb.info/gnd/4038860-8 ,,,
FGA46A,,2,Q2,Edelmetall,Edelmetalle,nobel metal@en,"Seltener, korrosionsbeständiger Werkstoff, der aufgrund seiner chemischen Eigenschaften und ästhetischen Qualitäten hochgeschätzt wird. ",B5DD1A,,,,,Q7|Q8,https://www.wikidata.org/wiki/Q585302| http://vocab.getty.edu/page/aat/300241621 |http://d-nb.info/gnd/4013531-7 ,,,
FD5149,,3,Q2,Gold,,gold@en,"gelbes Metall mit dem chemischen Symbol Au und der Ordnungszahl 79. Reine Goldobjekte kommen, aufgrund der Weichheit des Materials und der damit verbundenen, vergleichsweise geringen mechanischen Beständigkeit der hergestellten Objekte, relativ selten vor. Aufgrund der hohen Korrosionsbeständigkeit sind an Goldobjekten kaum materialbezogene, konservatorische Maßnahmen notwendig.",FGA46A,,DC5B2B,,,Q7|Q8,https://www.wikidata.org/wiki/Q897|https://cameo.mfa.org/wiki/Gold|http://vocab.getty.edu/page/aat/300011021 | http://d-nb.info/gnd/4157819-3 ,,,
DC5B2B,,3,Q2,Goldlegierung,Goldlegierungen,gold alloy@en,"Legierung mit Gold als Hauptbestandteil. Wurde als edler metallischer Werkstoff wegen seiner Seltenheit, hohen Beständigkeit gegen Korrosion und seines auffälligen Glanzes seit Jahrtausenden für Schmuck und Prestigeobjekte verwendet. Kongruent zu reinen Goldobjekten sind auch an Objekten aus Goldlegierungen kaum materialbedingte konservatorische Maßnahmen notwendig. Je nach Höhe des Anteils an unedleren Bestandteilen (Silber und/oder Kupfer) kann es jeodch zu oberflächlicher Verfärbung kommen.",FGA46A,,FD5149,,https://de.wikipedia.org/wiki/Gold#Goldlegierungen,Q7|Q8,https://www.wikidata.org/wiki/Q37136268 |http://vocab.getty.edu/page/aat/300010963 |http://d-nb.info/gnd/4157867-3 ,,,
F135A8,,3,Q2,Silber,,silver@en,"weißlich-graues Metall mit dem chemischen Symbol Ag und der Ordnungszahl 47. Reine Silberobjekte kommen, aufgrund der Weichheit des reinen Metalls, relativ selten vor. In der Regel wurden Silberlegierungen als Werkstoff für Objekte verwendet. Silber ist als Edelmetall relativ beständig gegen Korrosion, wird jedoch von oxidierenden Säuren und chloridhaltigen Lösungen (z.B. in stark chloridhaltigen Böden) unter Bildung von Silberoxid, Silbersulfid und/oder Silberchlorid angegriffen. ",FGA46A,,AD789F,,https://de.wikipedia.org/wiki/Silber#Silberlegierungen| K20,Q7|Q8,https://www.wikidata.org/wiki/Q1090 | http://vocab.getty.edu/page/aat/300011029 | http://d-nb.info/gnd/4133759-1 ,,,
AD789F,,3,Q2,Silberlegierung,Silberlegierungen,silver alloy@en,"Legierung mit Silber als Hauptbestandteil. Wurde als edler metallischer Werkstoff aufgrund seiner hohen Duktilität, guten Korrosionsbeständigkeit im Vergleich zu anderen Metallen und seiner reinen warm-glänzenden Erscheinung seit der Antike für Münzen, Schmuck und zeremonielle Gegenstände genutzt. Im Vergleich zu Gold war Silber überdies häufiger verfügbar. Neben den Korrosionserscheinungen des reinen Silbers treten in Legierungssystemen weitere Korrosionen auf. So kann sich z.B. bei kupferhaltigen Silberlegierungen Kupfer-I-oxid und Kupfersulfid bilden.",FGA46A,,F135A8,,https://de.wikipedia.org/wiki/Silber#Silberlegierungen| K20,Q7|Q8,https://www.wikidata.org/wiki/Q52895784|http://vocab.getty.edu/page/aat/300010975| http://d-nb.info/gnd/4181330-3,,,
F9F6DG,,3,Q2,Elektron,,electrum@en,"natürlich vorkommende Legierung aus Gold und Silber, teils auch mit geringem Kupferanteil",FGA46A,,,,,,,,,
BBF566,,2,Q2,unedles Metal,unedle Metalle,base metal@en,"Sammelbegriff für metallische Werkstoffe, die aufgrund ihres hohen Lösungsdrucks, unter Normalbedingungen zur Korrosion neigen",B5DD1A,,,,,Q7|Q8,https://www.wikidata.org/wiki/Q428855|http://vocab.getty.edu/page/aat/300241615|http://d-nb.info/gnd/4583082-4,,,
F71C6B,,3,Q2,Eisen,Fe,iron@en|fer@fr,"gräuliches Metall mit dem chemischen Symbol Fe und der Ordnungszahl 26. Im archäologischen Kontext kommen in der Regel ausschließlich Eisen-Kohlenstoff-Legierungen vor, sodass reines Eisen kaum eine Rolle in der Restaurierung spielt. ",BBF566,,BC75G1,,,Q7|Q8,https://www.wikidata.org/wiki/Q677|http://vocab.getty.edu/page/aat/300011002|http://d-nb.info/gnd/4014002-7,,,
