identifier	Qidentifier	hierarcylevel	type	prefLabel	altLabel	translation	description	parent	parentQ	related	relatedQ	source	creator	closeMatch	relatedMatch	seeAlso	example
B51DAF	Q12	0	Q2	Werkstoff	Material		Material aus dem das Objekt besteht.	top					Q7|Q8				https://n4o-ta4-dev.wikibase.cloud/wiki/Item:Q12
B5DD1A		1	Q2	Metall	Metalle	metal@en|métal@fr	Gruppe chemischer Elemente	B51DAF	Q12				Q7|Q8	http://www.wikidata.org/entity/Q11426			
FGA46A		2	Q2	Edelmetall	Edelmetalle	nobel metal@en	chemisches Element mit hoher Korrosionsbeständigkeit	B5DD1A					Q7|Q8	https://www.wikidata.org/wiki/Q585302			
FD5149		3	Q2	Gold		gold@en											
DC5B2B		3	Q2	Goldlegierung	Goldlegierungen	gold alloy@en	Legierung mit Gold als Hauptbestandteil	FGA46A					Q7|Q8	https://www.wikidata.org/wiki/Q37136268|http://vocab.getty.edu/page/aat/300010963	https://cameo.mfa.org/wiki/Gold		
FD5149		3	Q2	Silber		silver@en											
AD789F		3	Q2	Silberlegierung	Silberlegierungen	silver alloy@en	legierung mit Silber als Hauptbestandteil	FGA46A					Q7|Q8	https://www.wikidata.org/wiki/Q52895784|http://vocab.getty.edu/page/aat/300010975	https://cameo.mfa.org/wiki/Silver		
BBF566		2	Q2	unedles Metal	unedle Metalle	base metal@en	Metalle, die aufgrund ihres hohen Lösungsdrucks, unter Normalbedingungen zur Korrosion neigen	B5DD1A					Q7|Q8	https://www.wikidata.org/wiki/Q428855|http://vocab.getty.edu/page/aat/300241615			
F71C6B		3	Q2	Eisen	Fe|Eisenlegierung	iron@en|fer@fr	chemisches Element, silber-graues, hartes Metall. Kommt in der Natur selten als gediegenes Metall vor (außer in Meteoriten), wird häufiger aus Eisenerzen verhüttet. In der Archäologie wird mit dem Begriff "Eisen" meist eine Eisen-Kohlenstoff-Legierung bezeichnet.	BBF566				https://www.wikidata.org/wiki/Q58888853	Q7|Q8	http://vocab.getty.edu/page/aat/300011002|	https://www.wikidata.org/wiki/Q677		
B28FA6		3	Q2	Kupfer	Cu|reines Kupfer	copper@en	chemisches Elemten, rot-bräunliches Metall. Auch als "Halbedelmetall" bezeichnet. Kommt in der Natur in gediegener Form und als Erz vor. Erste Metall, dass von den Menschen gezielt bearbeitet wurde.	BBF566				https://www.wikidata.org/wiki/Q58888853	Q7|Q8	http://vocab.getty.edu/page/aat/300011020			
A82D86		3	Q2	Buntmetalllegierung	Buntmetall	nonferrous metal@en	Sammelbezeichnung für farbige Legierungen mit schweren Nichteisenmetallen als Hauptbestandsteile. Wird in der archäologischen Restaurierung hauptsächlich als allgemeiner Oberbegriff für kupferhaltige Objektwerkstoffe verwendet, solange keine eindeutige Materialanalyse durchgeführt wurde	BBF566					Q7|Q8	https://www.wikidata.org/wiki/Q355809			
FGB415		4	Q2	Kupferlegierung	Kupferlegierungen	copper alloy@en	Legierung mit Kupfer als Hauptbestandteil	A82D86					Q7|Q8	https://www.wikidata.org/wiki/Q518350|http://vocab.getty.edu/page/aat/300010942			
BF7D14		5	Q2	Bronze	Zinnbronze|Bronzen	bronze@en	Kupferlegierung mit Zinn als zweiter Hauptbestandteil. Moderne Bronzen weisen in der Regel genormte Zusammensetzungen und gezielte Legierungsbestandteile auf. In historischen Bronzen finden sich, je nach Zeitstellung und Kultur, unter Umständen sehr unterschiedliche Zusammetzungen und andere Bestandteile, wie Zink, Silber, Blei, Antimon, Arsen, etc. Zur eindeutigen metallurgischen Bestimmung wird der Begriff Bronze häufig zusammen mit dem vorangestellten Hauptlegierungszusatz verwendet (Bleibronze, Arsenbronze, usw.). Bronze kann, je nach Legierungszusammensetzung, eine gelb-golde, rötliche bis weißliche Färbung aufweisen	FGB415				https://cameo.mfa.org/wiki/Bronze	Q7|Q8	http://vocab.getty.edu/page/aat/300010957	https://www.wikidata.org/wiki/Q34095		
A8B271		5	Q2	Messing		brass@en	Kupferlegierung mit Zink als zweiter Hauptbestandteil in unterschiedlichen Massenanteilen. Weitere Legierungsbestandteile können zur Einstellung bestimmter Eigenschaften zugegeben sein. Messing kann, je nach Legierungszusammensetzung, eine hellgelbe, goldene bis bräunliche Färbung aufweisen.	FGB415				https://cameo.mfa.org/wiki/Brass	Q7|Q8	https://www.wikidata.org/wiki/Q39782|http://vocab.getty.edu/page/aat/300010946			
G992B6		4	Q2	Blei		lead@en	Chemisches Element, silber-gräuliches, weiches Metall. Gehört zur Gruppe der Schwermetalle und wirkt giftig auf den menschlichen Körper. Kommt in der Natur seltener in gediegener Form vor. Wurde in der Antike sowohl für eigenständige Objektherstellung, als auch in Pigmenten und Glazuren sowie Legierungen mit anderen Metallen verwendet.	A82D86				https://cameo.mfa.org/wiki/Lead	Q7|Q8	https://www.wikidata.org/wiki/Q708|http://vocab.getty.edu/page/aat/300011022			
G8AG1C		4	Q2	Zink		zinc@en	chemisches Element, weiß-bläuliches Metall, Kommt seltenen in gediegener Form, gebunden in Erzen jedoch recht häufig auf der Erse vor. In der Antike wurde es vor allem als Legierungsbestandteil, erst später auch in reiner Form oder als Beschichtung verarbeitet. In oxidischer Form ist Zink unter anderem auch in Pigmenten enthalten.	A82D86				https://cameo.mfa.org/wiki/Zinc	Q7|Q8	http://vocab.getty.edu/page/aat/300011037| https://www.wikidata.org/wiki/Q758			
